oed,red
5000,UNK
5050,W
5051,W1
5052,W2
5053,W2
5054,W
5055,W
5056,W3
5057,W
5100,M
5101,AD
5102,M1
5103,M2
5104,M2
5105,RM
5106,RM
5107,RM
5108,M
5109,RM
5110,M
5150,RC
5151,RC3
5152,RC2
5153,RC1
5154,RC1
5155,PC1
5156,PC
5157,PC2
5158,RC12
5159,RC11
5200,S
5201,S2
5202,S
5203,S1
5204,S1
5205,S1
5206,S3
5207,S4
5208,S4
5209,S
5251,RM
5252,S
5253,UNK
5254,RM
5255,S
5256,UNK
5257,RC
5258,UNK
5259,UNK
5260,UNK
5261,RC
5262,UNK
5263,UNK
5264,UNK
5265,UNK
5301,S
5302,UNK
5303,S
5304,-999
5305,-999
5306,-999
5309,UNK
5310,UNK
5350,UNK
5351,UNK
5352,UNK
5353,UNK
5354,UNK
5400,-999
5401,-999
5402,-999
5403,-999
5404,-999
5405,-999
5406,-999
5407,-999
5408,-999
5409,-999
5410,-999
5451,RAIL
5452,ROAD
5453,ROAD
5501,-999
5502,-999
5503,-999
5550,-999
5551,-999
5552,-999
5553,-999
5554,-999
5555,-999
5556,-999
5557,-999
5600,UNK
5601,S
5602,S
5603,UNK
5604,S
5605,RC
5606,UNK
5607,S
5608,RC
5609,UNK
5610,S
5611,RC
5612,UNK
5613,S
5614,RC
5650,-999
5651,-999
5652,-999
5653,-999
5654,-999
5655,-999
5656,-999
5657,-999
5658,-999
5659,-999
5660,-999
5661,-999
5662,-999
5701,M
5702,M
5703,M
5751,-999
5752,-999
5753,-999
5754,-999
5755,-999
5801,-999
5802,-999
5803,-999
5804,-999
5805,-999
5806,-999
5807,POW_GEO
5850,-999
5851,-999
5852,-999
5853,-999
5854,-999
5855,-999
5856,-999
5857,-999
5858,-999
5859,-999
5860,-999
5861,-999
5862,-999
5863,-999
5864,-999
5865,-999
5866,-999
5867,-999
5868,-999
5869,-999
5870,-999
5871,-999
5872,-999
5873,-999
5874,-999
5875,-999
5900,-999
5901,-999
5902,-999
5951,RAIL
5952,-999
5953,-999
5954,-999
5955,-999
5956,-999
5957,-999
5958,-999
5959,S
5960,-999
6000,-999
6051,-999
6052,-999
6053,-999
6054,-999
6055,-999
6056,-999
6100,-999
6101,-999
6102,-999
6103,-999
6104,-999
6105,-999
6106,-999
6150,-999
6151,-999
6152,-999
6153,-999
6154,-999
6155,-999
6156,-999
7000,-999
7001,-999
7002,-999
7003,-999
7004,-999
7005,-999
7006,-999
7007,-999
7008,-999
7009,-999
7010,-999
7011,-999
7012,-999
7013,-999